City,Region,Country,Code,Year,Total Population,Served Population,Sewer Length,Percent Served
Uralsk,Europe,Kazakhstan,KZ11,2015,173763.0,173763.0,362.3,1.0
Kostanai,Europe,Kazakhstan,KZ12,2015,195100.0,153900.0,376.1,0.7888262429523322
Pavlodar,Europe,Kazakhstan,KZ13,2015,336200.0,227900.0,345.2,0.6778703152885187
Shymkent,Europe,Kazakhstan,KZ14,2015,858100.0,416983.0,453.1,0.48593753641766696
Aktyubinsk,Europe,Kazakhstan,KZ15,2015,462000.0,198300.0,497.0,0.4292207792207792
Zyryanovsk,Europe,Kazakhstan,KZ16,2015,38013.0,22229.0,97.46,0.584773630073922
Atyrau,Europe,Kazakhstan,KZ17,2015,216834.0,111100.0,308.56,0.5123735207578147
Taraz,Europe,Kazakhstan,KZ18,2015,356983.0,167474.0,288.56,0.46913718580436603
Ekibastuz,Europe,Kazakhstan,KZ19,2015,155681.0,121684.0,303.64,0.7816239618193613
Kyzylorda,Europe,Kazakhstan,KZ20,2015,182900.0,65102.0,314.23,0.3559431383269546
Petropavlovsk,Europe,Kazakhstan,KZ22,2015,209529.0,122495.0,240.1,0.5846207446224627
Bashkia Puke,Europe,Albania,UM001,2015,5273.67,2620.42,7.0,0.4968873668621662
Sarande,Europe,Albania,UM002,2015,44122.5,33067.0,27.27,0.7494362286815117
Berat Kucove,Europe,Albania,UM006,2015,116689.5,83019.17,154.89,0.7114536440725172
Lezhe,Europe,Albania,UM007,2015,36985.58,35887.42,28.0,0.9703084283117906
Pogradec ,Europe,Albania,UM008,2015,61758.33,44482.67,29.45,0.7202699619630258
Korce,Europe,Albania,UM009,2015,89000.0,84900.0,104.0,0.9539325842696629
Elber ,Europe,Albania,UM010,2015,116000.0,116000.0,139.0,1.0
Shkoder ,Europe,Albania,UM011,2015,75414.0,300.0,22.58,0.0039780412125069615
Vlore,Europe,Albania,UM013,2015,139220.83,38400.75,20.83,0.27582618204474146
Durres ,Europe,Albania,UM014,2015,379000.0,178371.92,160.0,0.4706383113456465
Tirane ,Europe,Albania,UM015,2015,884802.17,644791.17,592.43,0.7287404934822889
Puke,Europe,Albania,UM024,2015,12000.0,250.0,2.0,0.020833333333333332
Shkoder-rural,Europe,Albania,UM026,2015,113814.0,75096.33,150.0,0.6598162791923665
Korce-rural,Europe,Albania,UM028,2015,2580.0,2183.0,6.0,0.8461240310077519
Gjirokaster - rural ,Europe,Albania,UM030,2015,36290.67,14239.83,36.0,0.3923826702565701
Rubik ,Europe,Albania,UM031,2015,7930.75,2225.0,10.5,0.28055354159442675
Mirdite ,Europe,Albania,UM033,2015,9089.0,5261.0,7.16,0.5788315546264715
Fush Arrez ,Europe,Albania,UM034,2015,4800.0,1620.0,6.68,0.3375
Rrogozhine ,Europe,Albania,UM035,2015,21662.92,3413.92,15.0,0.15759278989166745
Fier ,Europe,Albania,UM036,2015,134000.0,83000.0,78.0,0.6194029850746269
Librazhd ,Europe,Albania,UM037,2015,19101.0,16100.0,19.54,0.8428878069211037
Fush-Kruje ,Europe,Albania,UM038,2015,24518.0,8360.0,6.2,0.34097397830165593
Kavaje ,Europe,Albania,UM039,2015,96167.0,23832.0,26.5,0.24781889837470233
Mallakaster ,Europe,Albania,UM040,2015,38852.0,10720.0,9.06,0.2759188716153609
Lushnje,Europe,Albania,UM042,2015,79636.0,40000.0,29.4,0.5022853985634638
Peshkopi ,Europe,Albania,UM046,2015,31000.0,12994.0,22.0,0.41916129032258065
Burrel,Europe,Albania,UM049,2015,22440.0,17800.0,28.0,0.7932263814616756
Tepelene ,Europe,Albania,UM051,2015,16107.0,8791.0,25.5,0.5457875457875457
Erseke ,Europe,Albania,UM053,2015,7575.0,6300.0,10.0,0.8316831683168316
Kukes ,Europe,Albania,UM057,2015,40000.0,25000.0,32.0,0.625
Delvine ,Europe,Albania,UM059,2015,13387.25,6750.0,3.25,0.5042110963790174
Kraste .,Europe,Albania,UM062,2015,17060.0,16000.0,52.3,0.9378663540445487
Kamez Sh.a.,Europe,Albania,UM064,2015,90066.0,20104.0,35.0,0.22321408744698332
Yerevan ,Europe,Armenia,AR1,2015,1200000.0,1036731.5,1170.0,0.8639429166666667
National,Europe,Armenia,AR2,2015,344615.0,280845.0,2191.0,0.8149529184742393
Gyumri,Europe,Armenia,AR3,2015,122382.0,122382.0,332.0,1.0
Vanadzor,Europe,Armenia,AR4,2015,79590.0,63672.0,217.0,0.8
Armavir,Europe,Armenia,AR5,2015,28912.0,22987.0,63100.0,0.7950677919203099
Zvornik,Europe,Bosnia and Herzegovina,BH2,2015,22000.0,22000.0,67.0,1.0
Biha?,Europe,Bosnia and Herzegovina,BH3,2015,58809.0,23958.28,58.5,0.407391385672261
Bosanska Krupa,Europe,Bosnia and Herzegovina,BH4,2015,29659.0,10310.0,34.0,0.3476179237330996
Cazin,Europe,Bosnia and Herzegovina,BH6,2015,66069.0,8000.0,186.0,0.12108553179251993
Gradacac,Europe,Bosnia and Herzegovina,BH7,2015,17500.0,17500.0,44.0,1.0
Hadži?i,Europe,Bosnia and Herzegovina,BH9,2015,27000.0,8992.0,29.9,0.333037037037037
Jaice,Europe,Bosnia and Herzegovina,BH10,2015,25000.0,9000.0,22.0,0.36
Sarajevo,Europe,Bosnia and Herzegovina,BH15,2015,405000.0,320000.0,1300.0,0.7901234567901234
Tuzla,Europe,Bosnia and Herzegovina,BH18,2015,110979.0,86563.0,154.0,0.7799944133574821
Velika Kladuša,Europe,Bosnia and Herzegovina,BH19,2015,8935.0,8935.0,12220.0,1.0
Banja Luka,Europe,Bosnia and Herzegovina,BH21,2015,199191.0,120000.0,393.0,0.6024368570869166
Modri?a,Europe,Bosnia and Herzegovina,BH22,2015,8000.0,8000.0,20.0,1.0
Banovici,Europe,Bosnia and Herzegovina,BH23,2015,7900.0,7133.42,23.0,0.9029645569620254
Braza,Europe,Bosnia and Herzegovina,BH24,2015,8000.0,2399.0,15.0,0.299875
Istocno Sarajevo,Europe,Bosnia and Herzegovina,BH27,2015,20500.0,20500.0,85.02,1.0
Bia?ystok,Europe,Poland,PL1,2015,311000.0,304419.0,619.5,0.9788392282958199
Bielsko-Biala,Europe,Poland,PL2,2015,232694.0,174500.0,1234.7,0.7499119014671629
Bydgoszcz,Europe,Poland,PL3,2015,357652.0,345168.0,860.97,0.9650945611935624
Cz?stochowa,Europe,Poland,PL4,2015,327684.0,258033.0,1230.0,0.7874446112718351
Gda?sk,Europe,Poland,PL5,2015,572944.0,572944.0,1324.68,1.0
Gdynia,Europe,Poland,PL6,2015,380000.0,374300.0,959.4,0.985
Grodzisk Mazowiecki,Europe,Poland,PL7,2015,42485.0,32000.0,181.4,0.7532070142403201
Jastrz?bie Zdrój,Europe,Poland,PL8,2015,97011.0,97011.0,602.32,1.0
Katowice,Europe,Poland,PL9,2015,301834.0,271952.0,732.2,0.9009985621235513
Kraków,Europe,Poland,PL10,2015,762500.0,757200.0,1800.1,0.9930491803278688
Kruszwica,Europe,Poland,PL11,2015,15100.0,15010.0,154.5,0.9940397350993377
Nowy S?cz,Europe,Poland,PL15,2015,92000.0,91000.0,731.3,0.9891304347826086
Ostrów Wielkopolski,Europe,Poland,PL16,2015,72754.0,72754.0,320.5,1.0
Pozna?,Europe,Poland,PL18,2015,771900.0,703973.0,1991.74,0.9120002591009199
Siedlce,Europe,Poland,PL21,2015,93500.0,88100.0,492.0,0.9422459893048128
Sosnowiec,Europe,Poland,PL22,2015,207634.0,197252.3,389.12,0.95
Suwa?ki,Europe,Poland,PL24,2015,69455.0,66562.0,152.6,0.9583471312360521
Szczecin,Europe,Poland,PL25,2015,407133.0,405504.0,884.46,0.9959988504984858
Tarnów,Europe,Poland,PL26,2015,150300.0,137052.0,941.7,0.9118562874251497
Warszawa,Europe,Poland,PL29,2015,2044051.0,2044051.0,3999.4,1.0
W?oc?awek,Europe,Poland,PL30,2015,110266.0,106186.0,298.64,0.962998567101373
Wrze?nia,Europe,Poland,PL31,2015,31600.0,31000.0,149.5,0.9810126582278481
Zielona Góra,Europe,Poland,PL32,2015,124000.0,124000.0,459.1,1.0
?ywiec,Europe,Poland,PL33,2015,98854.0,82000.0,977.3,0.8295061403686245
Zabierzów,Europe,Poland,PL35,2015,24707.0,22484.88,339.0,0.9100611162828348
Abakan,Europe,Russia,20001,2015,179160.0,115519.0,292.3,0.6447812011609735
Anadyr,Europe,Russia,20003,2015,14900.0,14061.0,20.92,0.9436912751677853
Arkhangelsk,Europe,Russia,RU 75,2015,351230.0,219529.0,507.4,0.6250291831563363
Astrakhan,Europe,Russia,20005,2015,531720.0,392686.0,757.6,0.7385202738283307
Barnaul,Europe,Russia,20006,2015,661009.0,556078.0,940.38,0.8412563217747413
Belgorod,Europe,Russia,20007,2015,387090.0,330074.0,729.2,0.8527060890232245
Birobidzhan,Europe,Russia,20008,2015,74560.0,60332.0,102.9,0.8091738197424893
Blagoveschensk,Europe,Russia,20009,2015,224340.0,165522.0,262.5,0.7378175982883124
Bryansk,Europe,Russia,20010,2015,405920.0,230941.0,509.8,0.5689323019314151
Cheboksary,Europe,Russia,20011,2015,481000.0,465000.0,578.9,0.9667359667359667
Chelyabinsk,Europe,Russia,20012,2015,1191990.0,1010555.0,1323.5,0.8477881525851727
Cherkessk,Europe,Russia,20013,2015,123130.0,87726.0,139.4,0.7124664988223829
Chita,Europe,Russia,20014,2015,343510.0,193562.0,360.8,0.5634828680387761
Ekaterinburg,Europe,Russia,20016,2015,1444440.0,1366989.0,1367.5,0.9463799119381906
Elista,Europe,Russia,20017,2015,104010.0,76206.0,114.9,0.732679550043265
Gorno-Altaysk,Europe,Russia,20018,2015,62860.0,20777.0,33.7,0.3305281578110086
Irkutsk,Europe,Russia,20019,2015,623420.0,418460.0,845.0,0.6712328767123288
Ivanovo,Europe,Russia,20020,2015,409000.0,271700.0,563.42,0.6643031784841076
Izhevsk,Europe,Russia,20021,2015,701017.0,644460.0,663.9,0.9193215000492142
Kaliningrad,Europe,Russia,20022,2015,459560.0,399666.0,684.2,0.8696709896422665
Kaluga,Europe,Russia,20023,2015,341990.0,324212.0,548.4,0.9480160238603468
Kazan,Europe,Russia,20024,2015,1216970.0,983320.0,1297.8,0.8080067709146487
Kemerovo,Europe,Russia,20025,2015,553080.0,471329.0,608.0,0.852189556664497
Khabarovsk,Europe,Russia,20026,2015,611160.0,503355.0,699.9,0.8236059297074416
Khanty-Mansiysk,Europe,Russia,20027,2015,96940.0,49685.0,107.7,0.5125335258923045
Kirov,Europe,Russia,20028,2015,496990.0,475448.0,576.3,0.9566550634821627
Kostroma,Europe,Russia,20029,2015,276690.0,244088.0,389.0,0.882171383136362
Krasnodar,Europe,Russia,20030,2015,853850.0,686130.0,1046.7,0.8035720559817298
Krasnoyarsk,Europe,Russia,20031,2015,1066930.0,918449.0,1083.75,0.8608334192496228
Kurgan,Europe,Russia,20033,2015,325190.0,276309.0,390.9,0.849684799655586
Kursk,Europe,Russia,20034,2015,443210.0,352876.0,423.8,0.7961823966065747
Kyzyl,Europe,Russia,20035,2015,115870.0,70788.0,93.3,0.6109260378009839
Lipetsk,Europe,Russia,20036,2015,510020.0,449924.0,892.4,0.8821693266930709
Magadan,Europe,Russia,20037,2015,92080.0,86248.0,182.3,0.9366637706342311
Maikop,Europe,Russia,20038,2015,166989.0,85351.0,216.5,0.5111174987574032
Makhachkala,Europe,Russia,20039,2015,587880.0,295752.0,473.0,0.5030822616860584
Moscow,Europe,Russia,20040,2015,12179140.0,11896348.0,8344.7,0.976780626546702
Murmansk,Europe,Russia,20041,2015,305804.0,298205.0,293.4,0.9751507501536932
Nalchik,Europe,Russia,20042,2015,239040.0,164500.0,355.8,0.688169344042838
Naryan-Mar,Europe,Russia,20043,2015,24540.0,12672.0,34.5,0.5163814180929095
Nizhni Novgorod,Europe,Russia,20045,2015,1286129.0,1239922.0,1429.1,0.9640728107367146
Novgorod,Europe,Russia,20046,2015,221870.0,121295.0,417.2,0.5466940100058593
Novosibirsk,Europe,Russia,20047,2015,1642981.0,1642981.0,1629.0,1.0
Omsk,Europe,Russia,20048,2015,1178080.0,931720.0,1308.4,0.7908800760559554
Orenburg,Europe,Russia,20049,2015,575590.0,487090.0,775.16,0.8462447228061641
Oryol,Europe,Russia,20050,2015,319650.0,284980.0,408.2,0.8915376192710778
Penza,Europe,Russia,20052,2015,524630.0,350049.0,562.9,0.6672302384537674
Perm,Europe,Russia,RU 57,2015,1041880.0,881103.0,1179.0,0.8456856835720045
Petropavlovsk-Kamchatsky,Europe,Russia,20054,2015,180960.0,163571.0,321.3,0.903906940760389
Petrozavodsk,Europe,Russia,RU 78,2015,277110.0,235923.0,359.3,0.8513694922593916
Pskov,Europe,Russia,20056,2015,226311.0,215880.0,360.2,0.9539085594602118
Rostov-na-Donu,Europe,Russia,20057,2015,1119880.0,913821.0,1400.3,0.8159990356109583
Ryazan,Europe,Russia,20058,2015,534760.0,438024.0,723.5,0.8191038970753235
Salekhard,Europe,Russia,20059,2015,48470.0,40283.0,72.1,0.8310913967402517
Samara,Europe,Russia,20060,2015,1170910.0,1048191.0,1410.4,0.8951934819926382
Saransk,Europe,Russia,20061,2015,300280.0,288650.0,383.2,0.9612694818169708
Saratov,Europe,Russia,20062,2015,843460.0,544340.0,945.14,0.6453655182225595
Smolensk,Europe,Russia,20063,2015,328910.0,292495.0,424.2,0.889285822869478
St.Petersburg,Europe,Russia,20064,2015,5225690.0,4793658.0,8906.1,0.9173253675591166
Stavropol,Europe,Russia,20065,2015,429800.0,336010.0,346.6,0.7817822242903676
Syktyvkar,Europe,Russia,20066,2015,243540.0,179029.0,404.5,0.7351112753551778
Tambov,Europe,Russia,20067,2015,341683.0,273098.0,474.5,0.799273010363407
Tomsk,Europe,Russia,20068,2015,569290.0,465529.0,584.0,0.8177361274570079
Tula,Europe,Russia,20069,2015,487800.0,403300.0,510.97,0.8267732677326773
Tver,Europe,Russia,20071,2015,416440.0,365490.0,499.4,0.8776534434732495
Tyumen,Europe,Russia,20072,2015,720580.0,567421.0,678.09,0.7874503871880985
Ufa,Europe,Russia,20073,2015,1110980.0,799813.0,918.0,0.7199166501647194
Ulan-Ude,Europe,Russia,20074,2015,567300.0,254144.0,542.43,0.44798871849109817
Ulyanovsk,Europe,Russia,20075,2015,629647.0,571471.0,1306.9,0.9076053725341342
Vladikavkaz,Europe,Russia,20077,2015,307480.0,252934.0,849.8,0.8226030961363341
Vladimir,Europe,Russia,20078,2015,354830.0,327236.0,682.2,0.9222331820871967
Vladivostok,Europe,Russia,20079,2015,606650.0,503093.0,638.7,0.8292969587076569
Volgograd,Europe,Russia,20080,2015,1016140.0,587500.0,1225.2,0.5781683626271971
Vologda,Europe,Russia,20081,2015,312690.0,244311.0,484.4,0.7813201573443347
Voronezh,Europe,Russia,20082,2015,1032380.0,847807.0,1074.6,0.8212160251070343
