City,Region,Country,Code,Year,Total Population,Served Population,Sewer Length,Percent Served
Nova Varoš,Europe,Serbia,7210426,2015,16500.0,8700.0,35.0,0.5272727272727272
?oka,Europe,Serbia,8148058,2015,10795.0,4019.0,23.0,0.37230199166280686
?i?evac,Europe,Serbia,7175019,2015,8971.0,560.0,3.0,0.06242336417344778
Ruma,Europe,Serbia,8099545,2015,37583.0,37583.0,107.0,1.0
Golubac,Europe,Serbia,7200579,2015,10500.0,2814.0,15.4,0.268
 ?uprija,Europe,Serbia,21025372,2015,28000.0,19000.0,49.0,0.6785714285714286
Ljubovija,Europe,Serbia,7169027,2015,8500.0,5740.0,16.0,0.6752941176470588
Loznica,Europe,Serbia,7168861,2015,76958.0,27300.0,84.0,0.3547389485173731
Merošina,Europe,Serbia,17040685,2015,13980.0,732.0,12.0,0.05236051502145923
Lu?ani,Europe,Serbia,20932783,2015,11792.0,4519.0,32.0,0.38322591587516963
Medve?a,Europe,Serbia,7360924,2015,3200.0,2700.0,3.0,0.84375
Mionica,Europe,Serbia,7134657,2015,13638.0,2500.0,14.0,0.18331133597301658
Mladenovac,Europe,Serbia,7045859,2015,53906.0,16205.0,58.0,0.30061588691425817
Opština Se?anj,Europe,Serbia,8150346,2015,12419.0,160.0,1.1,0.012883484982687817
Smederevo,Europe,Serbia,7389574,2015,80196.0,56137.0,151.0,0.6999975061100304
Sombor,Europe,Serbia,8046751,2015,85569.0,34370.0,135.0,0.4016641540744896
Šabac,Europe,Serbia,7168683,2015,122843.0,48885.0,178.0,0.39794697296549253
Šid,Europe,Serbia,8154929,2015,32409.0,14893.0,60.0,0.45953284581443427
Senta,Europe,Serbia,8139679,2015,22961.0,17000.0,88.0,0.7403858716954836
Novi Grad,Europe,Bosnia and Herzegovina,BH77,2015,28800.0,9520.0,17.2,0.33055555555555555
Tesli?,Europe,Bosnia and Herzegovina,BH80,2015,38536.0,13500.0,24.77,0.3503217770396512
Zavidovi?i,Europe,Bosnia and Herzegovina,BH84,2015,40000.0,6093.0,10.0,0.152325
Laktaši,Europe,Bosnia and Herzegovina,BH74,2015,39311.0,4413.0,40.6,0.11225865533820051
Prijedor,Europe,Bosnia and Herzegovina,BH78,2015,97500.0,36716.0,120.5,0.376574358974359
Doboj,Europe,Bosnia and Herzegovina,BH69,2015,71411.0,29000.0,36.0,0.4060999005755416
G.Vakuf-Uskoplje,Europe,Bosnia and Herzegovina,BH107,2015,12300.0,6400.0,10.0,0.5203252032520326
Srbac,Europe,Bosnia and Herzegovina,BH104,2015,19001.0,4816.0,14.5,0.2534603441924109
Kotor Varoš,Europe,Bosnia and Herzegovina,BH106,2015,16900.0,6500.0,25.0,0.38461538461538464
Bratunac,Europe,Bosnia and Herzegovina,BH94,2015,20000.0,7000.0,25.0,0.35
Gradiška,Europe,Bosnia and Herzegovina,BH93,2015,53000.0,15240.0,38.3,0.2875471698113208
Požarevac,Europe,Serbia,17223810,2015,75354.0,40000.0,105.0,0.5308278259946386
Ivanjica,Europe,Serbia,7216840,2015,32047.0,9750.0,32.28,0.30424064655037913
Preševo,Europe,Serbia,6389309,2015,29744.0,14300.0,68.0,0.4807692307692308
Ashburton,Western Pacific,New Zealand,NZ002,2015,31041.0,20675.0,172.31,0.6660545729841177
Alexandra,Western Pacific,New Zealand,NZ009,2015,17895.0,14725.0,228.38,0.822855546241967
Christchurch,Western Pacific,New Zealand,NZ007,2015,367800.0,339879.0,2028.28,0.9240864600326264
Balclutha,Western Pacific,New Zealand,NZ008,2015,16890.0,9852.0,165.9,0.583303730017762
Dunedin,Western Pacific,New Zealand,NZ010,2015,120246.0,108867.0,838.73,0.9053689935631954
Gore,Western Pacific,New Zealand,NZ011,2015,12033.0,11254.0,104.0,0.9352613645807363
Hamilton,Western Pacific,New Zealand,NZ015,2015,153000.0,141607.0,818.0,0.9255359477124183
Paeroa,Western Pacific,New Zealand,NZ013,2015,17811.0,13272.0,160.0,0.7451574869462692
Levin,Western Pacific,New Zealand,NZ014,2015,30096.0,28056.0,230.0,0.9322169059011164
Lower Hutt ,Western Pacific,New Zealand,NZ003,2015,98238.0,94983.0,671.0,0.966866182129115
Invercargill,Western Pacific,New Zealand,NZ016,2015,51696.0,50525.0,370.24,0.9773483441658929
Dargaville,Western Pacific,New Zealand,NZ017,2015,4251.0,4251.0,45.05,1.0
Paraparaumu,Western Pacific,New Zealand,NZ018,2015,49104.0,44359.0,256.6,0.9033683610296513
Fairlie,Western Pacific,New Zealand,NZ019,2015,4158.0,4158.0,78.3,1.0
Blenheim,Western Pacific,New Zealand,NZ020,2015,43416.0,33499.0,305.0,0.771581905288373
New Plymouth,Western Pacific,New Zealand,NZ021,2015,74187.0,59525.0,467.0,0.8023642956313101
Palmerston North,Western Pacific,New Zealand,NZ022,2015,80079.0,64106.0,414.0,0.8005344722086939
Porirua,Western Pacific,New Zealand,NZ004,2015,51717.0,51717.0,414.0,1.0
Rotorua,Western Pacific,New Zealand,NZ023,2015,65280.0,65280.0,548.0,1.0
Taumarunui,Western Pacific,New Zealand,NZ024,2015,11844.0,9243.0,104.0,0.7803951367781155
Rolleston,Western Pacific,New Zealand,NZ025,2015,44595.0,26515.0,291.54,0.5945733826662182
Hawera,Western Pacific,New Zealand,NZ026,2015,26577.0,15662.5,188.0,0.5893253565112692
Whangarei,Western Pacific,New Zealand,NZ036,2015,85900.0,50365.0,582.0,0.5863213038416764
Whakatane,Western Pacific,New Zealand,NZ041,2015,32691.0,22904.0,182.3,0.7006209660151111
Tauranga,Western Pacific,New Zealand,NZ034,2015,47219.0,20966.4,245.0,0.4440246510938394
Hokitika,Western Pacific,New Zealand,NZ038,2015,8304.0,3953.0,49.52,0.4760356454720617
Wellington,Western Pacific,New Zealand,NZ006,2015,190956.0,181926.0,1065.0,0.9527116194306542
Hawkes Bay,Western Pacific,New Zealand,NZ039,2015,7890.0,4719.0,36.57,0.5980988593155894
