City,Region,Country,Code,Year,Total Population,Served Population,Water Length,Percent Served
Dak Mil Town,Western Pacific,Vietnam,D04.2.B,2015,43548.0,8950.0,15.35,0.2055203453660329
Nghia Lo Town,Western Pacific,Vietnam,A10.2.B,2015,38100.0,31500.0,110.0,0.8267716535433071
Phu My Town,Western Pacific,Vietnam,E06.2.B,2015,75700.0,65500.0,144.2,0.8652575957727873
Hai Phong City,Western Pacific,Vietnam,B08.4.B,2015,22500.0,22330.0,100.0,0.9924444444444445
Cam Ranh City,Western Pacific,Vietnam,C12.4.B,2015,126600.0,119600.0,171.4,0.9447077409162717
Dong My Hai Town,Western Pacific,Vietnam,C13.2.B,2015,36700.0,19656.0,48.42,0.5355858310626703
Gia Nghia Town,Western Pacific,Vietnam,D04.1.B,2015,84200.0,44300.0,138.0,0.5261282660332541
LakP. Lakshmipur,South-East Asia,Bangladesh,BD44,2015,165000.0,40000.0,60.0,0.24242424242424243
Jamalpur,South-East Asia,Bangladesh,BD40,2015,150000.0,95000.0,60.24,0.6333333333333333
SHP. Sherpur,South-East Asia,Bangladesh,BD42,2015,113000.0,31270.0,110.85,0.2767256637168142
KWASA. Khulna,South-East Asia,Bangladesh,BD41,2015,1623640.0,383800.0,339.33,0.23638244931142371
Kaduna State ,Africa,Nigeria,NG1,2015,2476066.0,1821794.0,2494.0,0.7357614861639391
Kano,Africa,Nigeria,NG2,2015,5826000.0,2200089.0,7500.0,0.3776328527291452
Sokoto State ,Africa,Nigeria,NG3,2015,2073084.0,1617006.0,523.5,0.7800002315390983
Zamfara State ,Africa,Nigeria,NG4,2015,850614.0,632394.0,235.0,0.7434559036178572
Kebbi State ,Africa,Nigeria,NG5,2015,1118869.0,679957.0,731.0,0.607718151097224
Jigawa State ,Africa,Nigeria,NG6,2015,1269452.0,1269452.0,502.0,1.0
Katsina State ,Africa,Nigeria,NG7,2015,3130101.0,1612874.0,675.0,0.5152785804675313
"Benue State , Makurdi. ",Africa,Nigeria,NG8,2015,4253641.0,315376.0,230.6,0.07414259924615171
Abuja,Africa,Nigeria,NG9,2015,3130692.66,872654.0,296.0,0.27874151019346627
Niger State ,Africa,Nigeria,NG10,2015,4275340.0,877347.0,1200.0,0.20521104754241767
Plateau State ,Africa,Nigeria,NG11,2015,3554270.0,610000.0,812.0,0.17162455300244495
 Kogi State ,Africa,Nigeria,NG12,2015,3450960.0,1621219.0,300.0,0.4697878271553423
Nasarawa Sate ,Africa,Nigeria,NG13,2015,2056706.0,617011.0,328.0,0.2999996110285087
Adamawa State ,Africa,Nigeria,NG14,2015,2450000.0,1143184.0,634.0,0.4666057142857143
Taraba State ,Africa,Nigeria,NG15,2015,255812.0,170511.0,420.0,0.6665480900035964
Bauchi State ,Africa,Nigeria,NG16,2015,644310.0,327394.0,452.0,0.5081311790908103
Yobe State ,Africa,Nigeria,NG17,2015,1707750.0,1000000.0,450.0,0.5855658029571073
Gombe State ,Africa,Nigeria,NG18,2015,813600.0,327000.0,173.0,0.4019174041297935
Ekiti State ,Africa,Nigeria,NG19,2015,3325325.0,499898.0,755.56,0.15033056919248494
Ogun State ,Africa,Nigeria,NG20,2015,3532808.0,1576078.0,472.91,0.4461261410187024
Ondo State ,Africa,Nigeria,NG21,2015,4129865.0,139568.0,890.0,0.03379480927342661
Osun State ,Africa,Nigeria,NG22,2015,3695315.0,1803392.0,1560.0,0.48802118357974894
Lagos ,Africa,Nigeria,NG23,2015,20578009.0,6592641.0,2484.6,0.3203731225892651
Oyo State  ,Africa,Nigeria,NG24,2015,3173564.0,1951742.0,866.84,0.6150000441144404
Akwa Ibom,Africa,Nigeria,NG25,2015,2326485.0,663502.0,768.55,0.28519504746430774
Delta State,Africa,Nigeria,NG26,2015,756456.0,497748.0,527.0,0.6579999365462103
Edo State,Africa,Nigeria,NG27,2015,3800000.0,1750000.0,20.0,0.4605263157894737
Rivers State ,Africa,Nigeria,NG28,2015,1005908.0,10000.0,200.0,0.009941266994595927
Bayelsa State ,Africa,Nigeria,NG29,2015,769204.0,769204.0,360.0,1.0
Cross River State ,Africa,Nigeria,NG30,2015,1778214.5,990250.0,876.46,0.5568788242363337
Anambra State ,Africa,Nigeria,NG31,2015,792064.0,387284.0,1010.0,0.48895543794440854
Enugu State ,Africa,Nigeria,NG32,2015,1793056.0,248086.0,807.97,0.13835931504649046
Imo State ,Africa,Nigeria,NG33,2015,5167731.0,930191.0,558.0,0.17999988776505588
Abia State ,Africa,Nigeria,NG35,2015,802560.0,526680.0,255.0,0.65625
Borno State,Africa,Nigeria,NG36,2015,4171104.0,2981718.0,1946.0,0.7148510322447007
Bosilovo,Europe,North Macedonia,MC30,2015,14300.0,10108.0,89.0,0.7068531468531468
?aška,Europe,North Macedonia,MC31,2015,7870.0,3690.0,25.0,0.46886912325285895
Novaci Mogila,Europe,North Macedonia,MC33,2015,2797.0,122.0,8.5,0.04361816231676797
Petrovec,Europe,North Macedonia,MC34,2015,8255.0,450.0,2.5,0.054512416717141125
Probistip,Europe,North Macedonia,MC35,2015,16193.0,1575.0,51.6,0.09726424998456124
Rankovce,Europe,North Macedonia,MC36,2015,4000.0,3950.0,67.0,0.9875
Rosoman,Europe,North Macedonia,MC37,2015,4532.0,3986.0,15.5,0.8795233892321271
Vev?ani,Europe,North Macedonia,MC38,2015,2600.0,2600.0,12.0,1.0
Vinica,Europe,North Macedonia,MC39,2015,14041.0,14041.0,40.93,1.0
Prilep,Europe,North Macedonia,MC40,2015,75973.0,75973.0,167.0,1.0
Prizen,Europe,Kosovo,XK2,2015,345367.0,231817.38,510.0,0.6712204119096498
Peje,Europe,Kosovo,XK3,2015,227062.0,216358.44,592.0,0.9528606283746289
Mitrovica,Europe,Kosovo,XK4,2015,198876.0,129830.94,695.0,0.6528235684547156
Gjakove,Europe,Kosovo,XK5,2015,155721.0,154895.0,540.0,0.9946956415640793
Ferizai,Europe,Kosovo,XK6,2015,147574.0,129759.19,227.0,0.8792821906297857
Gjilan,Europe,Kosovo,XK7,2015,176433.0,119404.18,279.17,0.6767678382162067
Leskovac,Europe,Serbia,7204752,2015,144206.0,92786.0,422.0,0.6434267644896884
Raška,Europe,Serbia,7176872,2015,27500.0,20000.0,30.0,0.7272727272727273
Sjenica,Europe,Serbia,7175213,2015,26067.0,13000.0,42.5,0.4987148501937315
Novi Sad,Europe,Serbia,8041083,2015,397370.0,353733.0,897.0,0.8901854694617107
Vrbas,Europe,Serbia,21123269,2015,40634.0,40469.0,150.0,0.9959393611261506
Becej,Europe,Serbia,8069921,2015,34378.0,34378.0,219.0,1.0
Svilajnac,Europe,Serbia,7253931,2015,18767.0,14600.0,300.0,0.7779613150743326
Subotica,Europe,Serbia,8065195,2015,141554.0,123274.0,546.9,0.8708620031931277
Sremska Mitrovica,Europe,Serbia,8234779,2015,70000.0,70000.0,375.0,1.0
Horgoš,Europe,Serbia,8025355,2015,23961.0,23961.0,255.0,1.0
Ba?,Europe,Serbia,8012644,2015,15000.0,15000.0,102.0,1.0
Kladovo,Europe,Serbia,7213573,2015,19700.0,12475.0,196.0,0.633248730964467
Niš,Europe,Serbia,7211856,2015,257883.0,208190.0,909.7,0.8073040875125541
Surdulica,Europe,Serbia,7180101,2015,20265.0,18521.0,47.0,0.9139402911423636
Suva,Western Pacific,Fiji,PWWA3,2015,765000.0,761805.0,3946.0,0.9958235294117647
Bairiki,Western Pacific,Republic Of Kiribati,PWWA10,2015,52618.0,33090.0,140.2,0.6288722490402524
Majuro,Western Pacific,Marshall Islands,PWWA15,2015,27791.0,7357.0,115.87,0.264725990428556
"RMI-Kwajalein, Marshall Islands",Western Pacific,Marshall Islands,PWWA23,2015,10200.0,9250.0,4.0,0.9068627450980392
"Chuuk, Weno Island",Western Pacific,Federated States Of Micronesia,PWWA4,2015,13856.0,2824.8,34.83,0.20386836027713628
Kosrae State,Western Pacific,Federated States Of Micronesia,PWWA5,2015,8000.0,2000.0,20.92,0.25
"Southern Yap State, FSM",Western Pacific,Federated States Of Micronesia,PWWA9,2015,3800.0,3800.0,804.67,1.0
Port Moresby City,Western Pacific,Papua New Guinea,PWWA2,2015,496716.0,496716.0,617.8,1.0
Nationwide mandate ex. Port Morsbey,Western Pacific,Papua New Guinea,PWWA13,2015,469882.0,299395.0,632.64,0.6371706087911433
Apia,Western Pacific,Samoa,PWWA18,2015,160500.0,129400.0,1152.0,0.8062305295950156
Guadalcanal Province,Western Pacific,Solomon Islands,PWWA19,2015,91160.0,50365.0,316.56,0.5524901272487933
Tongatapu,Western Pacific,Tonga,PWWA20,2015,62905.0,59760.0,250.3,0.9500039742468802
Unelco Vanuatu,Western Pacific,Vanuatu,PWWA22,2015,44039.0,33006.0,227.01,0.7494720588569223
Rarotonga,Western Pacific,Cook Islands,PWWA1,2015,10572.0,10572.0,90.0,1.0
Niue,Western Pacific,Niue,PWWA12,2015,1800.0,1760.0,114.0,0.9777777777777777
Plovdiv,Europe,Bulgaria,BG02,2015,675586.0,675586.0,4295.0,1.0
Dobrich,Europe,Bulgaria,BG03,2015,186357.0,186357.0,3402.0,1.0
Varna,Europe,Bulgaria,BG04,2015,472926.0,472926.0,4253.0,1.0
Burgas,Europe,Bulgaria,BG05,2015,415817.0,415063.0,4197.0,0.9981867023233778
Shumen,Europe,Bulgaria,BG06,2015,198232.0,198232.0,2362.0,1.0
Pleven,Europe,Bulgaria,BG07,2015,242772.0,242772.0,3002.0,1.0
Khaskovo,Europe,Bulgaria,BG08,2015,170390.0,169716.0,2231.0,0.996044368800986
Sliven,Europe,Bulgaria,BG09,2015,191185.0,191185.0,1817.0,1.0
Ruse,Europe,Bulgaria,BG010,2015,228129.0,228129.0,2626.0,1.0
Dunav,Europe,Bulgaria,BG023,2015,107683.0,107333.0,1631.0,0.9967497190828636
Vratsa,Europe,Bulgaria,BG024,2015,188772.0,188061.0,3236.0,0.9962335515860403
Sofiya,Europe,Bulgaria,BG025,2015,214314.0,212159.0,3286.0,0.9899446606381291
Yambol,Europe,Bulgaria,BG026,2015,125724.0,125598.0,1781.0,0.9989978047150901
Silistra,Europe,Bulgaria,BG027,2015,114670.0,114659.0,1860.0,0.9999040725560303
Montana,Europe,Bulgaria,BG028,2015,119551.0,114745.0,1770.0,0.9597995834413765
Trnovo,Europe,Bulgaria,BG029,2015,208208.0,207621.0,2880.0,0.9971807039114732
Lovech,Europe,Bulgaria,BG011,2015,101626.0,99100.0,1647.0,0.9751441560230649
Pazardzhik,Europe,Bulgaria,BG012,2015,142195.0,142195.0,1010.0,1.0
Smolyan,Europe,Bulgaria,BG013,2015,113984.0,104802.0,1496.0,0.9194448343627176
Pernik,Europe,Bulgaria,BG014,2015,127048.0,124817.0,1459.0,0.982439707826963
Vidin,Europe,Bulgaria,BG015,2015,116726.0,115573.0,1671.0,0.9901221664410671
Isperikh,Europe,Bulgaria,BG016,2015,38237.0,38237.0,708.0,1.0
Dimitrovgrad,Europe,Bulgaria,BG017,2015,61000.0,61000.0,602.0,1.0
Kyustendil,Europe,Bulgaria,BG018,2015,84170.0,83601.0,1382.0,0.99323987168825
Krdzhali,Europe,Bulgaria,BG019,2015,150528.0,135486.0,1410.0,0.9000717474489796
Blagoyevgrad,Europe,Bulgaria,BG021,2015,261390.0,248258.0,1497.0,0.9497608936837676
Gabrovo,Europe,Bulgaria,BG022,2015,79613.0,79088.0,1136.0,0.993405599588007
Zrenjanin,Europe,Serbia,8049637,2015,119710.0,119710.0,605.81,1.0
Kraljevo,Europe,Serbia,7190891,2015,81500.0,76950.0,320.0,0.9441717791411043
Užice,Europe,Serbia,7258160,2015,75805.0,75805.0,390.0,1.0
Kruševac,Europe,Serbia,7145837,2015,124795.0,77000.0,782.0,0.617011899515205
Valjevo,Europe,Serbia,7136277,2015,90000.0,80000.0,252.0,0.8888888888888888
Para?in,Europe,Serbia,7115911,2015,56397.0,37499.0,250.0,0.664911254144724
Vranje,Europe,Serbia,7226560,2015,85497.0,66847.0,350.0,0.7818636911236652
Velika Plana,Europe,Serbia,7160763,2015,39620.0,25000.0,263.0,0.6309944472488642
Kula,Europe,Serbia,8004790,2015,19500.0,19500.0,88.0,1.0
Aleksandrovac,Europe,Serbia,7100124,2015,26534.0,17919.0,162.0,0.6753222280847215
Jhalakathi,South-East Asia,Bangladesh,BD50,2015,64500.0,40000.0,56.0,0.6201550387596899
Brahmanbaria,South-East Asia,Bangladesh,BD37,2015,186000.0,45050.0,62.0,0.24220430107526883
Singra,South-East Asia,Bangladesh,BD47,2015,48000.0,12500.0,10.76,0.2604166666666667
Barguna,South-East Asia,Bangladesh,BD48,2015,60880.0,43710.0,76.34,0.717969776609724
ViK Bar,Europe,Montenegro,ME1,2015,42368.0,30623.0,467.0,0.7227860649546828
Kotor,Europe,Montenegro,ME2,2015,22799.0,20647.0,345.0,0.9056098951708408
Želino,Europe,North Macedonia,MC43,2015,24500.0,5035.0,24.3,0.20551020408163265
Kriva Palanka,Europe,North Macedonia,MC44,2015,20820.0,18060.0,42.54,0.8674351585014409
Choloma,Americas,Honduras,HN10,2015,171185.0,101110.8,349.0,0.5906522183602535
Danli,Americas,Honduras,HN08,2015,65000.0,36685.0,140.0,0.5643846153846154
Comayagua,Americas,Honduras,HN07,2015,92883.0,79810.0,249.0,0.8592530387692042
Siguatepeque,Americas,Honduras,HN06,2015,76302.0,63019.0,164.0,0.8259154412728369
Addis Zemene,Africa,Ethiopia,ETAM11,2015,97792.0,65030.0,108.3,0.6649828206806283
Bishoftu,Africa,Ethiopia,ETOR9,2015,236394.0,151806.0,185.0,0.6421736592299296
Adigrat,Africa,Ethiopia,ETTG2,2015,86094.0,46215.0,15.0,0.5367969893372361
Dangela,Africa,Ethiopia,ETAM7,2015,42295.0,22500.0,20.3,0.5319777751507271
Debre Tabor,Africa,Ethiopia,ETAM9,2015,87096.0,31245.0,42.6,0.3587420777073574
Alamata,Africa,Ethiopia,ETTG5,2015,49795.0,37405.0,12.15,0.7511798373330656
Debrebirihane,Africa,Ethiopia,ETAM4,2015,282017.0,188724.0,252.81,0.6691937010889415
Butajira,Africa,Ethiopia,ETSN9,2015,63846.0,44550.0,76.7,0.6977727657175078
Ambo,Africa,Ethiopia,ETOR4,2015,70853.0,53570.0,100.0,0.7560724316542701
Areka,Africa,Ethiopia,ETSN10,2015,50346.0,11148.5,30.5,0.2214376514519525
Yirgachefe,Africa,Ethiopia,ETSN30,2015,28877.0,9660.0,33.9,0.3345222841707934
Debark,Africa,Ethiopia,ETAM8,2015,32553.0,14300.0,8.0,0.4392836297729856
Arsi Negele,Africa,Ethiopia,ETOR1,2015,447346.0,214785.0,442.79,0.4801317101304136
Wukro,Africa,Ethiopia,ETTG3,2015,49795.0,37405.0,12.15,0.7511798373330656
Adet,Africa,Ethiopia,ETAM26,2015,31432.0,13730.0,19.37,0.4368159837108679
Asella,Africa,Ethiopia,ETOR6,2015,103522.0,77960.0,137.3,0.7530766407140511
Debremarkos,Africa,Ethiopia,ETAM2,2015,30038.0,15675.0,9.69,0.5218390039283574
Batu,Africa,Ethiopia,ETOR5,2015,75821.0,42881.5,61.67,0.5655623112330357
Chagni,Africa,Ethiopia,ETAM6,2015,39155.0,25585.0,83.7,0.6534286808836675
Debrsina,Africa,Ethiopia,ETAM13,2015,13574.0,8555.0,22.26,0.6302490054515987
Fenoteselam,Africa,Ethiopia,ETAM10,2015,102114.0,68953.5,48.0,0.6752600035254716
Kombolcha,Africa,Ethiopia,ETAM1,2015,91831.0,68725.0,63.0,0.7483856214132483
Dessie,Africa,Ethiopia,ETAM15,2015,223071.0,139925.0,345.99,0.6272666550111847
Modjo ,Africa,Ethiopia,ETOR33,2015,43479.0,36675.0,105.0,0.8435106603187745
Rama,Africa,Ethiopia,ETTG8,2015,14475.0,11355.0,31.6,0.7844559585492228
Gore,Africa,Ethiopia,ETOR22,2015,15411.0,8690.0,16.88,0.5638829407566024
Woliso,Africa,Ethiopia,ETOR46,2015,98206.0,54170.0,43.28,0.5515956255218623
Dukam,Africa,Ethiopia,ETOR15,2015,40953.0,33095.0,36.29,0.8081215051400386
Holeta,Africa,Ethiopia,ETOR11,2015,34276.0,30610.0,53.55,0.8930446959971992
Meki,Africa,Ethiopia,ETOR30,2015,57332.0,31645.0,73.28,0.5519605107095514
Dejene ,Africa,Ethiopia,ETAM14,2015,13614.0,10235.0,45.0,0.7517996180402526
Woldia,Africa,Ethiopia,ETAM33,2015,72286.0,48375.0,128.0,0.6692167224635476
Kemissie,Africa,Ethiopia,ETAM21,2015,30435.0,26765.0,42.0,0.8794151470346641
Kuy,Africa,Ethiopia,ETAM23,2015,91831.0,68725.0,63.0,0.7483856214132483
Lalibela,Africa,Ethiopia,ETAM25,2015,29935.0,19710.0,38.12,0.6584265909470519
Gondar,Africa,Ethiopia,ETAM19,2015,323875.0,224892.0,384.57,0.6943790042454651
Merawi,Africa,Ethiopia,ETAM22,2015,31432.0,13730.0,19.37,0.4368159837108679
Njombe,Africa,Tanzania,TZ024,2015,137350.0,41213.0,102.5,0.300058245358573
Bariati,Africa,Tanzania,TZ 21,2015,56008.0,26324.0,28.0,0.47000428510212827
Mpanda,Africa,Tanzania,TZ 23,2015,105965.0,72220.0,158.0,0.6815457934223564
Geita,Africa,Tanzania,TZ 22,2015,213933.0,125586.0,18.2,0.5870342583893088
Comilla,South-East Asia,Bangladesh,BD52,2015,500000.0,125000.0,156.0,0.25
Feni,South-East Asia,Bangladesh,BD51,2015,200000.0,45000.0,132.0,0.225
Kushtia,South-East Asia,Bangladesh,BD66,2015,30000.0,6200.0,12.0,0.20666666666666667
Bhariab Pourashava,South-East Asia,Bangladesh,BD54,2015,120000.0,37960.0,25.32,0.31633333333333336
Dinajpur,South-East Asia,Bangladesh,BD56,2015,200000.0,31000.0,86.0,0.155
Bogra,South-East Asia,Bangladesh,BD53,2015,600000.0,125000.0,216.0,0.20833333333333334
Pietermaritzburg,Africa,South Africa,KZN225,2015,623872.6,623872.6,3108.0,1.0
East London,Africa,South Africa,SA02,2015,739200.0,732600.0,4838.0,0.9910714285714286
Rustenburg,Africa,South Africa,NW373,2015,579932.0,579932.0,4550.0,1.0
Port Elizabeth,Africa,South Africa,SA01,2015,1102592.8,1102592.8,4459.0,1.0
Kempton Park,Africa,South Africa,SA03,2015,2664919.4,2664919.4,10070.0,1.0
Pietersburg,Africa,South Africa,LIM354,2015,617769.9,617769.9,3781.0,1.0
Saran,Europe,Kazakhstan,KZ90,2015,50611.0,28260.0,173.0,0.5583766374898738
Stepnogorsk,Europe,Kazakhstan,KZ002,2015,51750.0,51747.0,327.3,0.9999420289855072
Vršac,Europe,Serbia,8010072,2015,51217.0,51217.0,280.0,1.0
Vlasotince,Europe,Serbia,17224247,2015,21000.0,15882.0,80.0,0.7562857142857143
Zaje?ar,Europe,Serbia,7183372,2015,56714.0,56714.0,320.0,1.0
Bajina Bašta,Europe,Serbia,20104376,2015,11000.0,10000.0,78.0,0.9090909090909091
Panchagarh,South-East Asia,Bangladesh,BD59,2015,68000.0,20490.0,54.0,0.3013235294117647
Raipur Pourashava,South-East Asia,Bangladesh,BD60,2015,48250.0,24020.0,37.0,0.4978238341968912
Shahrasti ,South-East Asia,Bangladesh,BD61,2015,48650.0,11200.0,8.8,0.2302158273381295
Matlab Pourashava,South-East Asia,Bangladesh,BD58,2015,65000.0,3100.0,7.0,0.047692307692307694
Netrakona Pourashava,South-East Asia,Bangladesh,BD63,2015,32800.0,10200.0,55.0,0.31097560975609756
Barisal ,South-East Asia,Bangladesh,BD68,2015,111300.0,70000.0,67.0,0.6289308176100629
Joypurhat,South-East Asia,Bangladesh,BD62,2015,99000.0,35000.0,45.96,0.35353535353535354
Nowhata,South-East Asia,Bangladesh,BD64,2015,191000.0,3790.0,10.5,0.019842931937172775
Ishwardi,South-East Asia,Bangladesh,BD57,2015,75000.0,28490.0,31.0,0.3798666666666667
Pabna,South-East Asia,Bangladesh,BD55,2015,195000.0,110000.0,114.0,0.5641025641025641
Chittagong,South-East Asia,Bangladesh,BD67,2015,191000.0,55000.0,105.0,0.2879581151832461
Bijelo Polje,Europe,Montenegro,ME3,2015,46051.0,31396.0,182.0,0.6817658682764761
Ulcinj,Europe,Montenegro,ME12,2015,20265.0,17478.0,281.0,0.8624722427831236
Herceg Novi,Europe,Montenegro,ME6,2015,30992.0,28452.0,250.0,0.9180433660299432
Cetinje,Europe,Montenegro,ME5,2015,15000.0,15000.0,88.0,1.0
Vrnja?ka Banja,Europe,Serbia,17620983,2015,27527.0,25000.0,416.36,0.9081992225814655
Aran?elovac,Europe,Serbia,7113323,2015,44823.0,31101.0,401.0,0.6938625259353457
Ada,Europe,Serbia,8137005,2015,15573.0,13700.0,129.0,0.879727733898414
Aleksinac,Europe,Serbia,20274301,2015,51900.0,35500.0,150.0,0.6840077071290944
Beograd,Europe,Serbia,7018762,2015,1518800.0,1518800.0,3708.0,1.0
Beo?in,Europe,Serbia,8028362,2015,13380.0,13380.0,80.0,1.0
Bogati?,Europe,Serbia,7334419,2015,28883.0,6488.0,41.0,0.22463040542879895
Boljevac,Europe,Serbia,7183267,2015,4000.0,4000.0,52.0,1.0
Bela Palanka,Europe,Serbia,7306890,2015,8315.0,8315.0,42.5,1.0
Brus,Europe,Serbia,7262957,2015,10200.0,10000.0,30.0,0.9803921568627451
Kragujevac,Europe,Serbia,7165439,2015,200000.0,193000.0,600.0,0.965
Ku?evo,Europe,Serbia,7323824,2015,14192.0,4000.0,21.8,0.2818489289740699
Ljig,Europe,Serbia,7099240,2015,9409.0,3520.0,17.66,0.37410989478159207
Kni?,Europe,Serbia,7329733,2015,14048.0,2641.0,68.0,0.187998291571754
Lebane,Europe,Serbia,17547496,2015,22500.0,15400.0,62.0,0.6844444444444444
Knjaževac,Europe,Serbia,7208324,2015,24987.0,24488.0,192.0,0.980029615400008
Lazarevac,Europe,Serbia,7013922,2015,79000.0,32204.0,450.0,0.40764556962025317
Kosjeri?,Europe,Serbia,7110111,2015,12000.0,4000.0,35.0,0.3333333333333333
Novi Pazar,Europe,Serbia,7194129,2015,100410.0,83016.0,168.0,0.8267702420077682
Prijepolje,Europe,Serbia,7190175,2015,35818.0,22472.0,80.0,0.6273940476855212
Obrenovac,Europe,Serbia,20234806,2015,72323.0,72323.0,703.0,1.0
Ra?a,Europe,Serbia,7365292,2015,11950.0,4112.0,10.3,0.34410041841004185
Ražanj,Europe,Serbia,7675216,2015,8468.0,1657.0,35.0,0.1956778460085026
Opština Požega,Europe,Serbia,7239408,2015,18500.0,17500.0,1000.0,0.9459459459459459
Rekovac,Europe,Serbia,21063975,2015,11055.0,2000.0,15.0,0.18091361374943465
Trgovište,Europe,Serbia,7366612,2015,4056.0,4056.0,18.0,1.0
Svrljig,Europe,Serbia,7349955,2015,8172.0,8172.0,88.0,1.0
Temerin,Europe,Serbia,8658595,2015,27917.0,26779.0,128.3,0.9592363076261776
Opština Topola,Europe,Serbia,7123852,2015,25000.0,9828.0,76.0,0.39312
Plandište,Europe,Serbia,8049599,2015,11334.0,6714.0,46.0,0.5923769190047644
Ose?ina,Europe,Serbia,7305290,2015,12571.0,3850.0,65.0,0.30626044069684194
Trstenik,Europe,Serbia,7154780,2015,42989.0,15176.0,68.0,0.35302054013817485
Pirot,Europe,Serbia,7131518,2015,57911.0,52696.0,194.3,0.9099480236915266
Opovo,Europe,Serbia,8143099,2015,10073.0,10073.0,58.0,1.0
Gornji Milanovac,Europe,Serbia,7192819,2015,48500.0,33927.0,670.0,0.6995257731958763
Vladimirci,Europe,Serbia,7347189,2015,15500.0,12000.0,120.0,0.7741935483870968
Bijeljina,Europe,Bosnia and Herzegovina,BH60,2015,114663.0,90000.0,627.0,0.7849088197587714
Bosanski Petrovac,Europe,Bosnia and Herzegovina,BH63,2015,7200.0,4800.0,145.0,0.6666666666666666
Gra?anica,Europe,Bosnia and Herzegovina,BH70,2015,15800.0,15400.0,146.0,0.9746835443037974
Kozarska Dubica,Europe,Bosnia and Herzegovina,BH73,2015,22567.0,15457.0,145.36,0.6849381840740905
Mrkonji? Grad,Europe,Bosnia and Herzegovina,BH75,2015,18000.0,16000.0,216.6,0.8888888888888888
Del?evo,Europe,North Macedonia,MC51,2015,17505.0,15200.0,55.4,0.8683233361896601
Sveti Nikole,Europe,North Macedonia,MC56,2015,18600.0,15232.0,59.89,0.8189247311827957
Makedonska Kamenica,Europe,North Macedonia,MC55,2015,7575.0,5600.0,9.8,0.7392739273927392
Sopot,Europe,Serbia,7006888,2015,20367.0,12145.0,262.0,0.5963077527372711
Jagodina,Europe,Serbia,7114885,2015,54000.0,54000.0,156.0,1.0
Kovin,Europe,Serbia,8252050,2015,29275.0,29000.0,176.0,0.9906063193851409
Gadžin Han,Europe,Serbia,20158174,2015,2921.0,2839.0,83.0,0.9719274221157138
?a?ak,Europe,Serbia,7167610,2015,112558.0,87740.0,735.0,0.7795092307965671
Nova Varoš,Europe,Serbia,7210426,2015,16500.0,8865.0,65.0,0.5372727272727272
?oka,Europe,Serbia,8148058,2015,10795.0,10795.0,117.0,1.0
?i?evac,Europe,Serbia,7175019,2015,8971.0,7107.0,36.0,0.7922193735369524
Ruma,Europe,Serbia,8099545,2015,65205.0,64000.0,500.0,0.9815198220995323
Doljevac,Europe,Serbia,6250033,2015,18482.0,2609.0,28.0,0.14116437614976735
Golubac,Europe,Serbia,7200579,2015,10500.0,10500.0,52.0,1.0
 ?uprija,Europe,Serbia,21025372,2015,28000.0,19000.0,46.0,0.6785714285714286
Ljubovija,Europe,Serbia,7169027,2015,8500.0,8500.0,85.0,1.0
Loznica,Europe,Serbia,7168861,2015,76958.0,67800.0,717.0,0.8810000259882014
Merošina,Europe,Serbia,17040685,2015,13980.0,1536.0,8.0,0.10987124463519313
Mali Zvornik,Europe,Serbia,7168764,2015,12496.0,9190.0,129.0,0.7354353393085787
Lu?ani,Europe,Serbia,20932783,2015,11792.0,11792.0,350.0,1.0
Medve?a,Europe,Serbia,7360924,2015,3200.0,3200.0,45.0,1.0
Mionica,Europe,Serbia,7134657,2015,13638.0,12000.0,340.0,0.8798944126704795
Mladenovac,Europe,Serbia,7045859,2015,53906.0,30345.0,179.0,0.562924349794086
Malo Crni?e,Europe,Serbia,20179066,2015,11458.0,2000.0,35.04,0.17455053237912377
Opština Se?anj,Europe,Serbia,8150346,2015,12419.0,12419.0,135.0,1.0
Smederevo,Europe,Serbia,7389574,2015,80196.0,80196.0,321.0,1.0
Sombor,Europe,Serbia,8046751,2015,85569.0,53099.0,238.0,0.6205401488856945
Šabac,Europe,Serbia,7168683,2015,122843.0,60500.0,371.0,0.49249855506622275
Šid,Europe,Serbia,8154929,2015,34188.0,34188.0,200.0,1.0
Senta,Europe,Serbia,8139679,2015,22961.0,21800.0,100.0,0.9494360001742085
Novi Grad,Europe,Bosnia and Herzegovina,BH77,2015,28800.0,13730.0,148.1,0.47673611111111114
Tesli?,Europe,Bosnia and Herzegovina,BH80,2015,38536.0,21600.0,104.1,0.560514843263442
Laktaši,Europe,Bosnia and Herzegovina,BH74,2015,39311.0,20598.0,340.6,0.523975477601689
Prijedor,Europe,Bosnia and Herzegovina,BH78,2015,97500.0,65320.0,210.0,0.6699487179487179
Doboj,Europe,Bosnia and Herzegovina,BH69,2015,71411.0,42000.0,126.0,0.5881446835921637
G.Vakuf-Uskoplje,Europe,Bosnia and Herzegovina,BH107,2015,23000.0,9800.0,35.0,0.4260869565217391
Srbac,Europe,Bosnia and Herzegovina,BH104,2015,19001.0,16757.0,403.0,0.8819009525814431
Kotor Varoš,Europe,Bosnia and Herzegovina,BH106,2015,16900.0,10000.0,50.0,0.591715976331361
Bratunac,Europe,Bosnia and Herzegovina,BH94,2015,20000.0,10000.0,70.0,0.5
